filename,width,height,class,ymin,ymax,xmin,xmax
PRINGLESCEBOLLA_1_view_1_pose_100_lit_1_full.jpg,160,120,cebolla,32,89,57,93,
PRINGLESCEBOLLA_1_view_1_pose_100_lit_2_full.jpg,160,120,cebolla,32,89,57,93,
PRINGLESCEBOLLA_1_view_1_pose_100_lit_3_full.jpg,160,120,cebolla,32,89,57,93,
PRINGLESCEBOLLA_1_view_1_pose_100_lit_4_full.jpg,160,120,cebolla,32,89,57,93,
PRINGLESCEBOLLA_1_view_1_pose_100_lit_5_full.jpg,160,120,cebolla,32,89,57,93,
PRINGLESCEBOLLA_1_view_1_pose_101_lit_1_full.jpg,160,120,cebolla,26,90,56,95,
PRINGLESCEBOLLA_1_view_1_pose_101_lit_2_full.jpg,160,120,cebolla,22,90,56,95,
PRINGLESCEBOLLA_1_view_1_pose_101_lit_3_full.jpg,160,120,cebolla,22,90,56,95,
PRINGLESCEBOLLA_1_view_1_pose_101_lit_4_full.jpg,160,120,cebolla,22,90,56,95,
PRINGLESCEBOLLA_1_view_1_pose_101_lit_5_full.jpg,160,120,cebolla,22,90,56,95,
PRINGLESCEBOLLA_1_view_1_pose_102_lit_1_full.jpg,160,120,cebolla,28,90,66,95,
PRINGLESCEBOLLA_1_view_1_pose_102_lit_2_full.jpg,160,120,cebolla,28,90,66,95,
PRINGLESCEBOLLA_1_view_1_pose_102_lit_3_full.jpg,160,120,cebolla,28,90,66,95,
PRINGLESCEBOLLA_1_view_1_pose_102_lit_4_full.jpg,160,120,cebolla,28,90,66,95,
PRINGLESCEBOLLA_1_view_1_pose_102_lit_5_full.jpg,160,120,cebolla,28,90,66,95,
PRINGLESCEBOLLA_1_view_1_pose_103_lit_1_full.jpg,160,120,cebolla,28,92,57,96,
PRINGLESCEBOLLA_1_view_1_pose_103_lit_2_full.jpg,160,120,cebolla,28,92,57,96,
PRINGLESCEBOLLA_1_view_1_pose_103_lit_3_full.jpg,160,120,cebolla,28,92,57,96,
PRINGLESCEBOLLA_1_view_1_pose_103_lit_4_full.jpg,160,120,cebolla,28,92,57,96,
PRINGLESCEBOLLA_1_view_1_pose_103_lit_5_full.jpg,160,120,cebolla,28,92,57,96,
PRINGLESCEBOLLA_1_view_1_pose_104_lit_1_full.jpg,160,120,cebolla,30,91,60,93,
PRINGLESCEBOLLA_1_view_1_pose_104_lit_2_full.jpg,160,120,cebolla,28,91,60,93,
PRINGLESCEBOLLA_1_view_1_pose_104_lit_3_full.jpg,160,120,cebolla,28,91,60,93,
PRINGLESCEBOLLA_1_view_1_pose_104_lit_4_full.jpg,160,120,cebolla,28,91,60,93,
PRINGLESCEBOLLA_1_view_1_pose_104_lit_5_full.jpg,160,120,cebolla,28,91,60,93,
PRINGLESCEBOLLA_1_view_1_pose_105_lit_1_full.jpg,160,120,cebolla,29,91,57,95,
PRINGLESCEBOLLA_1_view_1_pose_105_lit_2_full.jpg,160,120,cebolla,29,91,57,95,
PRINGLESCEBOLLA_1_view_1_pose_105_lit_3_full.jpg,160,120,cebolla,29,91,57,95,
PRINGLESCEBOLLA_1_view_1_pose_105_lit_4_full.jpg,160,120,cebolla,29,91,57,95,
PRINGLESCEBOLLA_1_view_1_pose_105_lit_5_full.jpg,160,120,cebolla,29,91,57,95,
PRINGLESCEBOLLA_1_view_1_pose_106_lit_1_full.jpg,160,120,cebolla,27,93,58,95,
PRINGLESCEBOLLA_1_view_1_pose_106_lit_2_full.jpg,160,120,cebolla,27,93,58,95,
PRINGLESCEBOLLA_1_view_1_pose_106_lit_3_full.jpg,160,120,cebolla,27,93,58,95,
PRINGLESCEBOLLA_1_view_1_pose_106_lit_4_full.jpg,160,120,cebolla,27,93,58,95,
PRINGLESCEBOLLA_1_view_1_pose_106_lit_5_full.jpg,160,120,cebolla,27,93,58,95,
PRINGLESCEBOLLA_1_view_1_pose_107_lit_1_full.jpg,160,120,cebolla,28,92,64,92,
PRINGLESCEBOLLA_1_view_1_pose_107_lit_2_full.jpg,160,120,cebolla,28,92,64,92,
PRINGLESCEBOLLA_1_view_1_pose_107_lit_3_full.jpg,160,120,cebolla,28,92,64,92,
PRINGLESCEBOLLA_1_view_1_pose_107_lit_4_full.jpg,160,120,cebolla,28,92,64,92,
PRINGLESCEBOLLA_1_view_1_pose_107_lit_5_full.jpg,160,120,cebolla,28,92,64,92,
PRINGLESCEBOLLA_1_view_1_pose_108_lit_1_full.jpg,160,120,cebolla,29,90,65,93,
PRINGLESCEBOLLA_1_view_1_pose_108_lit_2_full.jpg,160,120,cebolla,29,90,65,93,
PRINGLESCEBOLLA_1_view_1_pose_108_lit_3_full.jpg,160,120,cebolla,29,90,65,93,
PRINGLESCEBOLLA_1_view_1_pose_108_lit_4_full.jpg,160,120,cebolla,29,90,65,93,
PRINGLESCEBOLLA_1_view_1_pose_108_lit_5_full.jpg,160,120,cebolla,29,90,65,93,
PRINGLESCEBOLLA_1_view_1_pose_109_lit_1_full.jpg,160,120,cebolla,27,92,61,93,
PRINGLESCEBOLLA_1_view_1_pose_109_lit_2_full.jpg,160,120,cebolla,27,92,61,93,
PRINGLESCEBOLLA_1_view_1_pose_109_lit_3_full.jpg,160,120,cebolla,27,92,61,93,
PRINGLESCEBOLLA_1_view_1_pose_109_lit_4_full.jpg,160,120,cebolla,27,92,61,93,
PRINGLESCEBOLLA_1_view_1_pose_109_lit_5_full.jpg,160,120,cebolla,27,92,61,93,
PRINGLESCEBOLLA_1_view_1_pose_10_lit_1_full.jpg,160,120,cebolla,20,97,53,108,
PRINGLESCEBOLLA_1_view_1_pose_10_lit_2_full.jpg,160,120,cebolla,20,97,53,108,
PRINGLESCEBOLLA_1_view_1_pose_10_lit_3_full.jpg,160,120,cebolla,20,97,53,108,
PRINGLESCEBOLLA_1_view_1_pose_10_lit_4_full.jpg,160,120,cebolla,20,97,53,108,
PRINGLESCEBOLLA_1_view_1_pose_10_lit_5_full.jpg,160,120,cebolla,20,97,53,108,
PRINGLESCEBOLLA_1_view_1_pose_110_lit_1_full.jpg,160,120,cebolla,23,93,66,92,
PRINGLESCEBOLLA_1_view_1_pose_110_lit_2_full.jpg,160,120,cebolla,23,93,66,92,
PRINGLESCEBOLLA_1_view_1_pose_110_lit_3_full.jpg,160,120,cebolla,23,93,66,93,
PRINGLESCEBOLLA_1_view_1_pose_110_lit_4_full.jpg,160,120,cebolla,23,93,66,93,
PRINGLESCEBOLLA_1_view_1_pose_110_lit_5_full.jpg,160,120,cebolla,23,94,66,92,
PRINGLESCEBOLLA_1_view_1_pose_111_lit_1_full.jpg,160,120,cebolla,27,92,61,92,
PRINGLESCEBOLLA_1_view_1_pose_111_lit_2_full.jpg,160,120,cebolla,27,92,61,92,
PRINGLESCEBOLLA_1_view_1_pose_111_lit_3_full.jpg,160,120,cebolla,27,92,61,92,
PRINGLESCEBOLLA_1_view_1_pose_111_lit_4_full.jpg,160,120,cebolla,27,92,61,92,
PRINGLESCEBOLLA_1_view_1_pose_111_lit_5_full.jpg,160,120,cebolla,27,92,61,92,
PRINGLESCEBOLLA_1_view_1_pose_112_lit_1_full.jpg,160,120,cebolla,21,97,66,96,
PRINGLESCEBOLLA_1_view_1_pose_112_lit_2_full.jpg,160,120,cebolla,21,97,66,96,
PRINGLESCEBOLLA_1_view_1_pose_112_lit_3_full.jpg,160,120,cebolla,21,97,66,96,
PRINGLESCEBOLLA_1_view_1_pose_112_lit_4_full.jpg,160,120,cebolla,21,97,66,96,
PRINGLESCEBOLLA_1_view_1_pose_112_lit_5_full.jpg,160,120,cebolla,21,97,66,96,
PRINGLESCEBOLLA_1_view_1_pose_113_lit_1_full.jpg,160,120,cebolla,26,92,63,91,
PRINGLESCEBOLLA_1_view_1_pose_113_lit_2_full.jpg,160,120,cebolla,26,92,63,91,
PRINGLESCEBOLLA_1_view_1_pose_113_lit_3_full.jpg,160,120,cebolla,26,92,63,91,
PRINGLESCEBOLLA_1_view_1_pose_113_lit_4_full.jpg,160,120,cebolla,28,92,63,91,
PRINGLESCEBOLLA_1_view_1_pose_113_lit_5_full.jpg,160,120,cebolla,28,92,63,91,
PRINGLESCEBOLLA_1_view_1_pose_114_lit_1_full.jpg,160,120,cebolla,22,95,67,96,
PRINGLESCEBOLLA_1_view_1_pose_114_lit_2_full.jpg,160,120,cebolla,22,95,67,96,
PRINGLESCEBOLLA_1_view_1_pose_114_lit_3_full.jpg,160,120,cebolla,22,95,67,96,
PRINGLESCEBOLLA_1_view_1_pose_114_lit_4_full.jpg,160,120,cebolla,22,95,67,96,
PRINGLESCEBOLLA_1_view_1_pose_114_lit_5_full.jpg,160,120,cebolla,22,95,67,96,
PRINGLESCEBOLLA_1_view_1_pose_115_lit_1_full.jpg,160,120,cebolla,22,95,62,93,
PRINGLESCEBOLLA_1_view_1_pose_115_lit_2_full.jpg,160,120,cebolla,22,95,62,93,
PRINGLESCEBOLLA_1_view_1_pose_115_lit_3_full.jpg,160,120,cebolla,22,95,62,93,
PRINGLESCEBOLLA_1_view_1_pose_115_lit_4_full.jpg,160,120,cebolla,22,95,62,93,
PRINGLESCEBOLLA_1_view_1_pose_115_lit_5_full.jpg,160,120,cebolla,22,95,62,93,
PRINGLESCEBOLLA_1_view_1_pose_116_lit_1_full.jpg,160,120,cebolla,22,94,66,94,
PRINGLESCEBOLLA_1_view_1_pose_116_lit_2_full.jpg,160,120,cebolla,22,94,66,94,
PRINGLESCEBOLLA_1_view_1_pose_116_lit_3_full.jpg,160,120,cebolla,22,94,66,94,
PRINGLESCEBOLLA_1_view_1_pose_116_lit_4_full.jpg,160,120,cebolla,22,94,66,94,
PRINGLESCEBOLLA_1_view_1_pose_116_lit_5_full.jpg,160,120,cebolla,22,94,66,94,
PRINGLESCEBOLLA_1_view_1_pose_117_lit_1_full.jpg,160,120,cebolla,21,96,64,98,
PRINGLESCEBOLLA_1_view_1_pose_117_lit_2_full.jpg,160,120,cebolla,21,96,64,98,
PRINGLESCEBOLLA_1_view_1_pose_117_lit_3_full.jpg,160,120,cebolla,21,96,64,98,
PRINGLESCEBOLLA_1_view_1_pose_117_lit_4_full.jpg,160,120,cebolla,21,96,64,98,
PRINGLESCEBOLLA_1_view_1_pose_117_lit_5_full.jpg,160,120,cebolla,21,96,64,98,
PRINGLESCEBOLLA_1_view_1_pose_118_lit_1_full.jpg,160,120,cebolla,25,94,62,92,
PRINGLESCEBOLLA_1_view_1_pose_118_lit_2_full.jpg,160,120,cebolla,25,94,62,92,
PRINGLESCEBOLLA_1_view_1_pose_118_lit_3_full.jpg,160,120,cebolla,25,94,62,92,
PRINGLESCEBOLLA_1_view_1_pose_118_lit_4_full.jpg,160,120,cebolla,25,94,62,92,
PRINGLESCEBOLLA_1_view_1_pose_118_lit_5_full.jpg,160,120,cebolla,25,94,62,92,
PRINGLESCEBOLLA_1_view_1_pose_119_lit_1_full.jpg,160,120,cebolla,22,96,65,93,
PRINGLESCEBOLLA_1_view_1_pose_119_lit_2_full.jpg,160,120,cebolla,22,96,65,93,
PRINGLESCEBOLLA_1_view_1_pose_119_lit_3_full.jpg,160,120,cebolla,22,96,65,93,
PRINGLESCEBOLLA_1_view_1_pose_119_lit_4_full.jpg,160,120,cebolla,22,96,65,93,
PRINGLESCEBOLLA_1_view_1_pose_119_lit_5_full.jpg,160,120,cebolla,22,96,65,93,
PRINGLESCEBOLLA_1_view_1_pose_11_lit_1_full.jpg,160,120,cebolla,20,99,54,105,
